Locality,MinPrice,MaxPrice,AvgRent,HouseType
HSR Layout,5000,19300,12647.22,1
HSR Layout,12000,40000,20455.28,2
HSR Layout,18000,85000,4283.33,3
Whitefield,4500,20000,1076.46,1
Whitefield,7500,50000,18433.77,2
Whitefield,20000,29800,2566.67,3
Krishnarajapura,3000,10900,7466.96,1
Krishnarajapura,12000,34400,21350,3
Sarjapur,5000,nan,5000,1
Sarjapur,10500,12000,11250,2
Sarjapur,16500,nan,16500,3
Whitefield Hope Farm Junction,11000,12000,11375,1
Whitefield Hope Farm Junction,7000,nan,7000,2
Whitefield Hope Farm Junction,38000,nan,38000,3
Begur,3000,12950,8409.38,1
Begur,7000,17000,12300,2
Begur,19000,25000,21692.5,3
Thanisandra,5500,13600,9933.33,1
Thanisandra,8000,16000,12571.43,2
Thanisandra,17000,24700,19425,3
Yelahanka,5000,10000,7412.5,1
Yelahanka,8500,20000,11642.86,2
Yelahanka,20000,25000,22500,3
Varthur,3500,13000,7528.57,1
Varthur,7500,20000,11464.58,2
Varthur,20000,26250,23666.67,3
Electronic City Phase 1,8500,9000,8750,1
Electronic City Phase 1,22000,nan,22000,2
Electronic City Phase 1,43000,50000,46500,3
Electronics City,4000,12100,8710.17,1
Electronics City,8100,19000,12135.29,2
Electronics City,16000,37000,27560,3
Devanahalli,6999,nan,6999,1
Devanahalli,30000,nan,30000,2
Devanahalli,30000,nan,30000,3
Marsur,7500,nan,7500,1
Marsur,9000,10000,9500,2
Marsur,20000,nan,20000,3
BTM Layout,4000,17000,9669.28,1
BTM Layout,8000,30000,15974.1,2
BTM Layout,19000,37000,28000,3
Chandapura,4500,7300,6060,1
Chandapura,7000,12000,9166.67,2
Chandapura,16000,nan,16000,3
Koramangala,3500,25000,11340,1
Koramangala,12000,50000,22283.33,2
Bellandur,7000,18000,11407.69,1
Bellandur,10500,30000,21685.71,2
Marathahalli,5000,15500,8961.54,1
Marathahalli,8000,25200,15920,2
Marathahalli,12000,30000,24250,3
Indira Nagar,6000,22000,12704.23,1
Indira Nagar,12000,45000,21185.76,2
Indira Nagar,24000,75000,44529.41,3
Chandapura Anekal Road,nan,nan,-,1
Chandapura Anekal Road,11000,nan,11000,2
Chandapura Anekal Road,nan,nan,-,3
J. P. Nagar,3300,20000,9482.02,1
J. P. Nagar,9000,29000,16971.28,2
J. P. Nagar,14000,54000,28481.48,3
Subramanyapura,3500,12000,7361.11,1
Subramanyapura,10000,16500,12875,2
Subramanyapura,15000,23000,19000,3
Mahadevapura,4500,17500,10478.81,1
Mahadevapura,8500,26400,16540.91,2
Mahadevapura,45000,nan,45000,3
Electronic City Phase 2,8500,nan,8500,1
Electronic City Phase 2,12000,nan,12000,2
Electronic City Phase 2,19000,nan,19000,3
Jakkur,7200,10800,8916.67,1
Jakkur,14000,18000,15833.33,2
Jakkur,27000,nan,27000,3
Budigere Cross,12000,19000,16760,1
Budigere Cross,14000,40000,21954.55,2
Budigere Cross,40000,42500,41666.67,3
Hebbal,5500,12500,8733.33,1
Hebbal,9500,30000,14568.42,2
Hebbal,19500,32500,24000,3
Horamavu,5000,12000,8352.38,1
Horamavu,8000,65000,17243.48,2
Horamavu,18000,40000,28683.33,3
Ramamurthy Nagar,4500,20000,8820.45,1
Ramamurthy Nagar,7000,20000,13716.22,2
Ramamurthy Nagar,22000,nan,22000,3
Rajajinagar,4000,16500,9218.18,1
Rajajinagar,11000,24000,17506.45,2
Rajajinagar,15500,38000,25363.64,3
Vignana Kendra,6000,nan,6000,1
Vignana Kendra,nan,nan,-,2
Vignana Kendra,32000,nan,32000,3
Harlur,8000,13000,11285.71,1
Harlur,8000,25000,17750,2
Harlur,43000,nan,43000,3
Banashankari,4800,40000,9395.92,1
Banashankari,7000,25000,13393.24,2
Banashankari,12000,53000,22531.25,3
Murugeshpalya,6000,18000,10385.54,1
Murugeshpalya,9000,22000,15757.58,2
Murugeshpalya,19000,35000,24000,3
RR Nagar,3000,12000,8276.32,1
RR Nagar,10000,30000,16835.71,2
RR Nagar,15000,35000,24258.33,3
Banaswadi,7000,15000,10544.44,1
Banaswadi,10000,28000,17777.78,2
Banaswadi,18000,35000,26700,3
Narayanapura on Hennur Main Road,10000,nan,10000,1
Narayanapura on Hennur Main Road,15000,35000,24284.48,2
Narayanapura on Hennur Main Road,18500,50000,30867.92,3
Chamrajpet,6000,nan,6000,1
Chamrajpet,14000,nan,14000,2
Chamrajpet,18000,nan,18000,3
Vidyaranyapura,3500,16000,7333.33,1
Vidyaranyapura,6200,16000,10980,2
Vidyaranyapura,16000,27000,19666.67,3
Battarahalli,4500,11000,735.71,1
Battarahalli,6000,18000,12954.55,2
Battarahalli,18000,35000,22142.86,3
Jayanagar,5000,13000,8275,1
Jayanagar,12000,32000,20119.05,2
Jayanagar,20000,27000,23000,3
CV Raman Nagar,5000,16000,10619.05,1
CV Raman Nagar,10000,20000,15400,2
CV Raman Nagar,20000,nan,20000,3
Bommanahalli,4450,13500,9807.64,1
Bommanahalli,8500,20000,15219.04,2
Bommanahalli,32900,nan,32900,3
Talaghattapura,7000,nan,7000,1
Talaghattapura,9500,13000,11250,2
Talaghattapura,18000,20000,19000,3
Sarjapur Road Post Railway Crossing,18500,32000,24125,1
Sarjapur Road Post Railway Crossing,11000,nan,11000,2
Sarjapur Road Post Railway Crossing,50000,75000,62500,3
Kannur on Thanisandra Main Road,8500,nan,8500,1
Kannur on Thanisandra Main Road,13100,35000,2250.98,2
Kumbalgodu,7000,nan,7000,1
Kumbalgodu,13000,35000,19575,3
Hennur,4000,13600,10215.38,1
Hennur,10000,25000,14040,2
Hennur,16000,27000,21000,3
Kasavanahalli,4000,19000,14296.3,1
Kasavanahalli,13500,21500,17557.14,2
Kasavanahalli,30000,33500,31750,3
Kalyan Nagar,4000,15000,8866.67,1
Kalyan Nagar,14000,25000,19288.46,2
Kalyan Nagar,21000,50000,36884.62,3
Dasarahalli on Tumkur Road,nan,nan,-,1
Dasarahalli on Tumkur Road,5500,nan,5500,2
Dasarahalli on Tumkur Road,20000,30000,25550,3
Bagaluru Near Yelahanka,nan,nan,-,1
Bagaluru Near Yelahanka,15000,nan,15000,2
Bagaluru Near Yelahanka,25000,30000,27500,3
Nagarbhavi,6000,8000,7000,1
Nagarbhavi,7000,20000,12375,2
Nagarbhavi,15000,30000,26142.86,3
Brookefield,7000,21000,14145.45,1
Brookefield,13000,30000,20476.19,2
Brookefield,24000,45000,34333.33,3
Hoskote,5500,6500,6075,1
Hoskote,9500,nan,9500,2
Hoskote,15000,21000,18000,3
JP Nagar Phase 7,8000,nan,8000,1
JP Nagar Phase 7,13000,18500,16100,2
JP Nagar Phase 7,16000,48000,34362.5,3
Hosa Road,9500,20000,13833.33,1
Hosa Road,12500,nan,12500,2
Hosa Road,15000,38000,25347.83,3
Hulimavu,6000,27000,10300,1
Hulimavu,11000,17800,14810,2
Hulimavu,17000,24000,20333.33,3
Gottigere,6500,15000,1062.38,1
Gottigere,8000,18000,11600,2
Gottigere,13000,40000,20800,3
Jigani,6000,9500,7700,1
Jigani,8200,14000,10775,2
Jigani,20000,nan,20000,3
