Locality,MinPrice,MaxPrice,AvgRent,HouseType
HSR Layout,"5,000","20,000"," 12,594.56",1BHK
HSR Layout,"12,000","35,000"," 20,107.72",2BHK
HSR Layout,"18,000","80,000"," 40,681.82",3BHK
Whitefield,"5,000","20,000"," 10,77.36",1BHK
Whitefield,"8,000","50,000"," 18,61.18",2BHK
Whitefield,"20,000","29,800"," 25,66.67",3BHK
Whitefield Hope Farm Junction,"11,000","12,000"," 11,375",1BHK
Whitefield Hope Farm Junction,"7,000",nan," 7,000",2BHK
Whitefield Hope Farm Junction,"18,000",1.2 L," 37,231.63",3BHK
Krishnarajapura,"3,000","10,900"," 7,432.35",1BHK
Krishnarajapura,"5,200",4.5 L," 17,392.29",2BHK
Krishnarajapura,"12,000","34,400"," 21,350",3BHK
Sarjapur,"5,000",nan," 5,000",1BHK
Sarjapur,"10,500","12,000"," 11,250",2BHK
Sarjapur,"16,500",nan," 16,500",3BHK
Begur,"3,000","12,950"," 8,409.38",1BHK
Begur,"7,000","17,000"," 12,343.75",2BHK
Begur,"19,000","25,000"," 21,692.5",3BHK
Yelahanka,"5,000","10,000"," 7,383.33",1BHK
Yelahanka,"8,500","20,000"," 12,000",2BHK
Yelahanka,"20,000","25,000"," 22,500",3BHK
Thanisandra,"5,500","13,600"," 9,845.45",1BHK
Thanisandra,"8,000","15,000"," 11,400",2BHK
Thanisandra,"17,000","24,700"," 19,425",3BHK
Electronic City Phase 1,"6,000","9,000"," 7,833.33",1BHK
Electronic City Phase 1,"22,000",nan," 22,000",2BHK
Electronic City Phase 1,"25,000","50,000"," 39,333.33",3BHK
Varthur,"3,500","13,000"," 7,480",1BHK
Varthur,"7,500","17,000"," 11,136.96",2BHK
Varthur,"20,000","26,250"," 23,666.67",3BHK
BTM Layout,"3,500","17,000"," 9,464.3",1BHK
BTM Layout,"8,000","30,000"," 15,833.23",2BHK
BTM Layout,"19,000","37,000"," 26,833.33",3BHK
Devanahalli,nan,nan,-,1BHK
Devanahalli,"30,000",nan," 30,000",2BHK
Devanahalli,"30,000",nan," 30,000",3BHK
Electronics City,"4,000","12,100"," 8,718.5",1BHK
Electronics City,"8,100","15,800"," 11,875",2BHK
Electronics City,"16,000","37,000"," 27,560",3BHK
Bellandur,"7,000","18,000"," 11,407.69",1BHK
Bellandur,"10,500","30,000"," 21,685.71",2BHK
Bellandur,"32,000",1 L," 52,333.33",3BHK
Chandapura,"4,500","7,300"," 6,060",1BHK
Chandapura,"8,500","12,000"," 10,250",2BHK
